,Timegrp,DayOfWeek,Incident
0,22-24,Monday,1
1,22-24,Monday,1
2,22-24,Monday,1
3,22-24,Monday,1
4,22-24,Monday,1
5,22-24,Monday,1
6,22-24,Monday,1
7,22-24,Monday,1
8,22-24,Monday,1
9,22-24,Monday,1
10,22-24,Monday,1
11,22-24,Monday,1
12,22-24,Monday,1
13,22-24,Monday,1
14,22-24,Monday,1
15,22-24,Monday,1
16,22-24,Monday,1
17,22-24,Monday,1
18,22-24,Monday,1
19,22-24,Monday,1
20,22-24,Monday,1
21,22-24,Monday,1
22,22-24,Monday,1
23,22-24,Monday,1
24,22-24,Monday,1
25,22-24,Monday,1
26,22-24,Monday,1
27,22-24,Monday,1
28,22-24,Monday,1
29,22-24,Monday,1
30,22-24,Monday,1
31,22-24,Monday,1
32,22-24,Monday,1
33,22-24,Monday,1
34,22-24,Monday,1
35,22-24,Monday,1
36,22-24,Monday,1
37,22-24,Monday,1
38,22-24,Monday,1
39,22-24,Monday,1
40,22-24,Monday,1
41,22-24,Monday,1
42,22-24,Monday,1
43,22-24,Monday,1
44,22-24,Monday,1
45,22-24,Monday,1
46,22-24,Monday,1
47,22-24,Monday,1
48,22-24,Monday,1
49,22-24,Monday,1
50,22-24,Monday,1
51,22-24,Monday,1
52,22-24,Monday,1
53,22-24,Monday,1
54,22-24,Monday,1
55,22-24,Monday,1
56,22-24,Monday,1
57,22-24,Monday,1
58,22-24,Monday,1
59,22-24,Monday,1
60,22-24,Monday,1
61,22-24,Monday,1
62,22-24,Monday,1
63,22-24,Tuesday,1
64,22-24,Tuesday,1
65,22-24,Tuesday,1
66,22-24,Tuesday,1
67,22-24,Tuesday,1
68,22-24,Tuesday,1
69,22-24,Tuesday,1
70,22-24,Tuesday,1
71,22-24,Tuesday,1
72,22-24,Tuesday,1
73,22-24,Tuesday,1
74,22-24,Tuesday,1
75,22-24,Tuesday,1
76,22-24,Tuesday,1
77,22-24,Tuesday,1
78,22-24,Tuesday,1
79,22-24,Tuesday,1
80,22-24,Tuesday,1
81,22-24,Tuesday,1
82,22-24,Tuesday,1
83,22-24,Tuesday,1
84,22-24,Tuesday,1
