,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId,Timegrp,Timegrp_index,Incident,Day_num
0,146161716,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/11/2014,23:30,TARAVAL,NONE,QUINTARA ST / 22ND AV,-122.479293683,37.7485024706,"(37.7485024705607, -122.479293683101)",14616171606244,22-24,11,1,0
1,146169083,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/18/2014,22:00,PARK,NONE,400 Block of STANYAN ST,-122.454403067,37.7738178295,"(37.7738178294781, -122.454403066889)",14616908306244,22-24,11,1,0
2,146168966,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/18/2014,22:13,NORTHERN,NONE,PAGE ST / OCTAVIA ST,-122.424059564,37.7738758569,"(37.7738758568682, -122.42405956423)",14616896606244,22-24,11,1,0
3,140694000,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/18/2014,22:30,CENTRAL,NONE,LARKIN ST / NORTHPOINT ST,-122.42200895,37.8054960276,"(37.8054960276478, -122.422008950077)",14069400006244,22-24,11,1,0
4,146198634,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/18/2014,22:52,SOUTHERN,NONE,12TH ST / HOWARD ST,-122.416902807,37.7717234974,"(37.7717234973754, -122.416902807379)",14619863406244,22-24,11,1,0
5,146183306,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/18/2014,23:00,CENTRAL,NONE,MIDWAY ST / FRANCISCO ST,-122.409302498,37.8052052344,"(37.8052052344314, -122.409302498033)",14618330606244,22-24,11,1,0
6,140522235,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,06/23/2014,22:30,NORTHERN,NONE,2100 Block of LOMBARD ST,-122.436863338,37.799619969,"(37.7996199689993, -122.436863337604)",14052223506244,22-24,11,1,0
7,140522172,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,06/23/2014,22:35,PARK,"ARREST, BOOKED",3600 Block of 16TH ST,-122.434210665,37.7641141712,"(37.7641141712208, -122.434210665257)",14052217206242,22-24,11,1,0
8,146118864,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,06/23/2014,23:00,PARK,NONE,BRODERICK ST / WALLER ST,-122.43851712,37.7701256766,"(37.770125676561, -122.438517119801)",14611886406244,22-24,11,1,0
9,146118870,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,06/23/2014,23:21,PARK,NONE,800 Block of CORBETT AV,-122.443655564,37.7525123537,"(37.7525123536541, -122.443655564476)",14611887006244,22-24,11,1,0
10,146116288,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,06/16/2014,23:30,TENDERLOIN,NONE,500 Block of EDDY ST,-122.416732163,37.7834655674,"(37.783465567448, -122.416732163096)",14611628806244,22-24,11,1,0
11,146119549,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,06/16/2014,23:00,NORTHERN,NONE,1100 Block of POST ST,-122.420753848,37.7866670085,"(37.7866670084912, -122.420753848399)",14611954906244,22-24,11,1,0
12,146116523,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,06/16/2014,22:30,CENTRAL,NONE,700 Block of PINE ST,-122.407719083,37.7913036466,"(37.7913036465604, -122.407719083018)",14611652306244,22-24,11,1,0
13,140524372,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,06/16/2014,22:30,BAYVIEW,NONE,1500 Block of SHAFTER AV,-122.389768985,37.7305636926,"(37.7305636925712, -122.389768984951)",14052437206241,22-24,11,1,0
